FCdate,step,lat,lon,STAT_ID,VT,OBS,CNTRLFC_ECMWF,M1_ECMWF,M2_ECMWF,M3_ECMWF,M4_ECMWF,M5_ECMWF,M6_ECMWF,M7_ECMWF,M8_ECMWF,M9_ECMWF,M10_ECMWF,M11_ECMWF,M12_ECMWF,M13_ECMWF,M14_ECMWF,M15_ECMWF,M16_ECMWF,M17_ECMWF,M18_ECMWF,M19_ECMWF,M20_ECMWF,M21_ECMWF,M22_ECMWF,M23_ECMWF,CNTRLFC_UKMet,M1_UKMet,M2_UKMet,M3_UKMet,M4_UKMet,M5_UKMet,M6_UKMet,M7_UKMet,M8_UKMet,M9_UKMet,M10_UKMet,M11_UKMet,M12_UKMet,M13_UKMet,M14_UKMet,M15_UKMet,M16_UKMet,M17_UKMet,M18_UKMet,M19_UKMet,M20_UKMet,M21_UKMet,M22_UKMet,M23_UKMet
2010090212,144,-8.93,33.47,63932,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,-10.68,35.58,63962,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0
2010090212,144,-10.27,40.18,63971,20100908,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.1,0.39,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.1
2010090312,144,3.53,39.03,63619,20100909,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
2010090312,144,3.93,41.87,63624,20100909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090312,144,1.02,35.0,63661,20100909,0.3,5.37,13.06,7.39,3.75,2.84,3.85,4.37,2.56,4.72,3.23,1.76,8.97,4.25,3.89,17.84,2.82,12.73,13.93,3.39,2.9,0.84,3.97,9.9,8.35,5.37,13.06,7.39,3.75,2.84,3.85,4.37,2.56,4.72,3.23,1.76,8.97,4.25,3.89,17.84,2.82,12.73,13.93,3.39,2.9,0.84,3.97,9.9,8.35
2010090312,144,1.75,40.07,63671,20100909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090312,144,0.53,35.28,63686,20100909,0.0,7.61,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99,7.61,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99
2010090312,144,0.28,34.78,63687,20100909,0.0,8.87,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99,8.87,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99
2010090312,144,0.4,35.23,63688,20100909,0.0,7.61,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99,7.61,5.1,7.0,7.44,9.75,8.08,5.73,4.18,9.43,2.14,2.63,11.26,8.07,5.42,13.17,4.1,5.57,10.68,1.21,6.16,0.73,6.0,9.23,9.99
